company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Polygon,Bengaluru,Crypto,100,0.2,2/21/2023,Unknown,India,451
Poshmark,"SF Bay Area",Retail,NULL,0.02,2/24/2023,Acquired,"United States",153
Poshmark,"SF Bay Area",Retail,NULL,0.02,2/24/2023,Acquired,"United States",153
"Prime Trust","Las Vegas",Crypto,NULL,0.33,1/30/2023,"Series B","United States",176
"Prime Trust","Las Vegas",Crypto,NULL,0.33,1/30/2023,"Series B","United States",176
Primer,London,Finance,85,0.33,12/9/2022,"Series B","United Kingdom",73
Primer,London,Finance,85,0.33,12/9/2022,"Series B","United Kingdom",73
Prisma,"SF Bay Area",Data,NULL,0.28,1/19/2023,"Series B","United States",56
Prisma,"SF Bay Area",Data,NULL,0.28,1/19/2023,"Series B","United States",56
Prosus,Amsterdam,Other,NULL,0.3,1/25/2023,Unknown,Netherlands,NULL
Prosus,Amsterdam,Other,NULL,0.3,1/25/2023,Unknown,Netherlands,NULL
"Protego Trust Bank",Seattle,Crypto,NULL,0.5,3/1/2023,"Series A","United States",70
"Protego Trust Bank",Seattle,Crypto,NULL,0.5,3/1/2023,"Series A","United States",70
Proterra,"SF Bay Area",Transportation,300,NULL,1/19/2023,Post-IPO,"United States",1200
Proterra,"SF Bay Area",Transportation,300,NULL,1/19/2023,Post-IPO,"United States",1200
"Protocol Labs","SF Bay Area",Crypto,89,0.2,2/3/2023,Unknown,"United States",10
"Protocol Labs","SF Bay Area",Crypto,89,0.2,2/3/2023,Unknown,"United States",10
Qualcomm,"San Diego",Hardware,153,NULL,12/22/2022,Post-IPO,"United States",NULL
Qualcomm,"San Diego",Hardware,153,NULL,12/22/2022,Post-IPO,"United States",NULL
Qualtrics,"Salt Lake City",Other,270,0.05,1/11/2023,Post-IPO,"United States",400
Qualtrics,"Salt Lake City",Other,270,0.05,1/11/2023,Post-IPO,"United States",400
"Quanergy Systems","SF Bay Area",Transportation,72,NULL,12/14/2022,Post-IPO,"United States",175
"Quanergy Systems","SF Bay Area",Transportation,72,NULL,12/14/2022,Post-IPO,"United States",175
"Quantum SI","New Haven",Healthcare,NULL,0.12,1/30/2023,Post-IPO,"United States",425
"Quantum SI","New Haven",Healthcare,NULL,0.12,1/30/2023,Post-IPO,"United States",425
Reach,Calgary,Retail,NULL,0.12,12/16/2022,"Series A",Canada,30
Reach,Calgary,Retail,NULL,0.12,12/16/2022,"Series A",Canada,30
"Rebel Foods",Mumbai,Food,NULL,0.02,1/16/2023,Unknown,India,548
"Rebel Foods",Mumbai,Food,NULL,0.02,1/16/2023,Unknown,India,548
"Recur Forever",Miami,Crypto,235,NULL,12/7/2022,"Series A","United States",55
"Recur Forever",Miami,Crypto,235,NULL,12/7/2022,"Series A","United States",55
Redbubble,Melbourne,Retail,NULL,0.14,1/18/2023,Post-IPO,Australia,55
Redbubble,Melbourne,Retail,NULL,0.14,1/18/2023,Post-IPO,Australia,55
"REE Automotive","Tel Aviv",Transportation,31,0.11,2/9/2023,Post-IPO,Israel,317
"REE Automotive","Tel Aviv",Transportation,31,0.11,2/9/2023,Post-IPO,Israel,317
Relativity,Chicago,Legal,150,0.1,12/7/2022,"Private Equity","United States",125
Relativity,Chicago,Legal,150,0.1,12/7/2022,"Private Equity","United States",125
Relevel,Bengaluru,HR,40,0.2,1/10/2023,NULL,India,NULL
Relevel,Bengaluru,HR,40,0.2,1/10/2023,NULL,India,NULL
Revelate,Montreal,Data,24,0.3,12/16/2022,"Series A",Canada,26
Revelate,Montreal,Data,24,0.3,12/16/2022,"Series A",Canada,26
"Rigetti Computing","SF Bay Area",Hardware,NULL,0.28,2/10/2023,Post-IPO,"United States",298
"Rigetti Computing","SF Bay Area",Hardware,NULL,0.28,2/10/2023,Post-IPO,"United States",298
RingCentral,"SF Bay Area",Other,30,NULL,1/17/2023,Post-IPO,"United States",44
RingCentral,"SF Bay Area",Other,30,NULL,1/17/2023,Post-IPO,"United States",44
"Riot Games","Los Angeles",Consumer,46,NULL,1/19/2023,Acquired,"United States",21
"Riot Games","Los Angeles",Consumer,46,NULL,1/19/2023,Acquired,"United States",21
Rivian,Detroit,Transportation,NULL,0.06,2/1/2023,Post-IPO,"United States",10700
Rivian,Detroit,Transportation,NULL,0.06,2/1/2023,Post-IPO,"United States",10700
"Rock Content",Miami,Marketing,NULL,0.15,1/12/2023,"Series B","United States",34
"Rock Content",Miami,Marketing,NULL,0.15,1/12/2023,"Series B","United States",34
Ruggable,"Los Angeles",Retail,100,NULL,1/27/2023,Seed,"United States",NULL
Ruggable,"Los Angeles",Retail,100,NULL,1/27/2023,Seed,"United States",NULL
Saks.com,"New York City",Retail,100,0.05,1/19/2023,Unknown,"United States",965
Saks.com,"New York City",Retail,100,0.05,1/19/2023,Unknown,"United States",965
Salesforce,"SF Bay Area",Sales,8000,0.1,1/4/2023,Post-IPO,"United States",65
Salesforce,"SF Bay Area",Sales,8000,0.1,1/4/2023,Post-IPO,"United States",65
Salesloft,Atlanta,Sales,100,0.1,2/7/2023,Acquired,"United States",245
Salesloft,Atlanta,Sales,100,0.1,2/7/2023,Acquired,"United States",245
"Sana Benefits",Austin,HR,NULL,0.19,2/7/2023,"Series B","United States",106
"Sana Benefits",Austin,HR,NULL,0.19,2/7/2023,"Series B","United States",106
SAP,Walldorf,Other,3000,0.03,1/26/2023,Post-IPO,Germany,1300
SAP,Walldorf,Other,3000,0.03,1/26/2023,Post-IPO,Germany,1300
"SAP Labs",Bengaluru,Other,300,NULL,2/24/2023,Subsidiary,India,1300
"SAP Labs",Bengaluru,Other,300,NULL,2/24/2023,Subsidiary,India,1300
Sayurbox,Jakarta,Food,NULL,0.05,12/7/2022,"Series C",Indonesia,139
Sayurbox,Jakarta,Food,NULL,0.05,12/7/2022,"Series C",Indonesia,139
"Scale AI","SF Bay Area",Data,NULL,0.2,1/9/2023,"Series E","United States",602
"Scale AI","SF Bay Area",Data,NULL,0.2,1/9/2023,"Series E","United States",602
Scoro,London,HR,NULL,0.09,1/24/2023,"Series B","United Kingdom",23
Scoro,London,HR,NULL,0.09,1/24/2023,"Series B","United Kingdom",23
SecureWorks,Atlanta,Security,212,0.09,2/7/2023,Post-IPO,"United States",83
SecureWorks,Atlanta,Security,212,0.09,2/7/2023,Post-IPO,"United States",83
ServiceTitan,"Los Angeles",Sales,221,0.08,2/15/2023,"Series G","United States",1100
ServiceTitan,"Los Angeles",Sales,221,0.08,2/15/2023,"Series G","United States",1100
Shakepay,Montreal,Crypto,21,0.25,1/27/2023,"Series A",Canada,45
Shakepay,Montreal,Crypto,21,0.25,1/27/2023,"Series A",Canada,45
"Share Now",Berlin,Transportation,150,0.36,12/9/2022,Acquired,Germany,NULL
"Share Now",Berlin,Transportation,150,0.36,12/9/2022,Acquired,Germany,NULL
ShareChat,Bengaluru,Consumer,500,0.2,1/16/2023,"Series H",India,1700
ShareChat,Bengaluru,Consumer,500,0.2,1/16/2023,"Series H",India,1700
Shutterfly,"SF Bay Area",Retail,360,NULL,1/25/2023,Acquired,"United States",50
Shutterfly,"SF Bay Area",Retail,360,NULL,1/25/2023,Acquired,"United States",50
SirionLabs,Seattle,Legal,130,0.15,1/25/2023,"Series D","United States",171
SirionLabs,Seattle,Legal,130,0.15,1/25/2023,"Series D","United States",171
SiriusXM,"New York City",Media,475,0.08,3/6/2023,Post-IPO,"United States",525
SiriusXM,"New York City",Media,475,0.08,3/6/2023,Post-IPO,"United States",525
Skit.ai,Bengaluru,Support,115,NULL,1/12/2023,"Series B",India,28
Skit.ai,Bengaluru,Support,115,NULL,1/12/2023,"Series B",India,28
SmartNews,Tokyo,Media,120,0.4,1/12/2023,"Series F","United States",410
SmartNews,Tokyo,Media,120,0.4,1/12/2023,"Series F","United States",410
Smartsheet,Seattle,Other,85,0.03,2/16/2023,Post-IPO,"United States",152
Smartsheet,Seattle,Other,85,0.03,2/16/2023,Post-IPO,"United States",152
Snappy,"New York City",Marketing,100,0.3,1/15/2023,"Series C","United States",104
Snappy,"New York City",Marketing,100,0.3,1/15/2023,"Series C","United States",104
Snowplow,London,Data,40,NULL,2/2/2023,"Series B","United States",55
Snowplow,London,Data,40,NULL,2/2/2023,"Series B","United States",55
Socure,Reno,Finance,104,0.19,1/5/2023,"Series E","United States",646
Socure,Reno,Finance,104,0.19,1/5/2023,"Series E","United States",646
"Software AG",Frankfurt,Data,200,0.04,1/31/2023,Post-IPO,Germany,344
"Software AG",Frankfurt,Data,200,0.04,1/31/2023,Post-IPO,Germany,344
Sonder,"SF Bay Area",Travel,100,0.14,3/1/2023,Post-IPO,"United States",839
Sonder,"SF Bay Area",Travel,100,0.14,3/1/2023,Post-IPO,"United States",839
SonderMind,Denver,Healthcare,NULL,0.15,12/16/2022,"Series C","United States",183
SonderMind,Denver,Healthcare,NULL,0.15,12/16/2022,"Series C","United States",183
"Sono Motors",Munich,Transportation,300,NULL,2/27/2023,Post-IPO,Germany,126
"Sono Motors",Munich,Transportation,300,NULL,2/27/2023,Post-IPO,Germany,126
Sophos,Oxford,Security,450,0.1,1/18/2023,Acquired,"United States",125
Sophos,Oxford,Security,450,0.1,1/18/2023,Acquired,"United States",125
SoundHound,"SF Bay Area",Other,200,0.5,1/5/2023,Post-IPO,"United States",326
SoundHound,"SF Bay Area",Other,200,0.5,1/5/2023,Post-IPO,"United States",326
Splunk,"SF Bay Area",Data,325,0.04,2/1/2023,Post-IPO,"United States",2400
Splunk,"SF Bay Area",Data,325,0.04,2/1/2023,Post-IPO,"United States",2400
Spotify,Stockholm,Media,600,0.06,1/23/2023,Post-IPO,Sweden,2100
Spotify,Stockholm,Media,600,0.06,1/23/2023,Post-IPO,Sweden,2100
Sprinklr,"New York City",Support,100,0.04,2/15/2023,Post-IPO,"United States",429
Sprinklr,"New York City",Support,100,0.04,2/15/2023,Post-IPO,"United States",429
SSense,Montreal,Retail,138,0.07,1/27/2023,"Series A",Canada,NULL
SSense,Montreal,Retail,138,0.07,1/27/2023,"Series A",Canada,NULL
Starry,Boston,Other,100,0.24,1/18/2023,Post-IPO,"United States",260
Starry,Boston,Other,100,0.24,1/18/2023,Post-IPO,"United States",260
Stax,Orlando,Finance,24,NULL,2/24/2023,"Series D","United States",263
Stax,Orlando,Finance,24,NULL,2/24/2023,"Series D","United States",263
"Stitch Fix","SF Bay Area",Retail,NULL,0.2,1/5/2023,Post-IPO,"United States",79
"Stitch Fix","SF Bay Area",Retail,NULL,0.2,1/5/2023,Post-IPO,"United States",79
StreamElements,"Tel Aviv",Media,40,0.2,1/10/2023,"Series B",Israel,111
StreamElements,"Tel Aviv",Media,40,0.2,1/10/2023,"Series B",Israel,111
StrongDM,"SF Bay Area",Infrastructure,40,NULL,2/23/2023,"Series B","United States",76
StrongDM,"SF Bay Area",Infrastructure,40,NULL,2/23/2023,"Series B","United States",76
Stytch,"SF Bay Area",Security,19,0.25,2/27/2023,"Series B","United States",126
Stytch,"SF Bay Area",Security,19,0.25,2/27/2023,"Series B","United States",126
SuperRare,Wilmington,Crypto,NULL,0.3,1/6/2023,"Series A","United States",9
SuperRare,Wilmington,Crypto,NULL,0.3,1/6/2023,"Series A","United States",9
Swiggy,Bengaluru,Food,250,0.03,12/8/2022,Unknown,India,3600
Swiggy,Bengaluru,Food,250,0.03,12/8/2022,Unknown,India,3600
Swiggy,Bengaluru,Food,380,0.06,1/20/2023,Unknown,India,3600
Swiggy,Bengaluru,Food,380,0.06,1/20/2023,Unknown,India,3600
Synamedia,London,Media,200,0.12,2/22/2023,Unknown,"United Kingdom",NULL
Synamedia,London,Media,200,0.12,2/22/2023,Unknown,"United Kingdom",NULL
Synopsys,"SF Bay Area",Other,100,NULL,1/27/2023,Post-IPO,"United States",NULL
Synopsys,"SF Bay Area",Other,100,NULL,1/27/2023,Post-IPO,"United States",NULL
Tackle,Boise,Other,NULL,0.15,2/15/2023,"Series C","United States",148
Tackle,Boise,Other,NULL,0.15,2/15/2023,"Series C","United States",148
TaskUs,"San Antonio",Support,186,NULL,2/22/2023,Post-IPO,"United States",279
TaskUs,"San Antonio",Support,186,NULL,2/22/2023,Post-IPO,"United States",279
TCR2,Boston,Healthcare,NULL,0.4,1/5/2023,Post-IPO,"United States",173
TCR2,Boston,Healthcare,NULL,0.4,1/5/2023,Post-IPO,"United States",173
TechTarget,Boston,Marketing,60,0.05,12/8/2022,Post-IPO,"United States",115
TechTarget,Boston,Marketing,60,0.05,12/8/2022,Post-IPO,"United States",115
"Teladoc Health","New York City",Healthcare,300,0.06,1/18/2023,Post-IPO,"United States",172
"Teladoc Health","New York City",Healthcare,300,0.06,1/18/2023,Post-IPO,"United States",172
Tencent,Shenzen,Consumer,300,NULL,2/17/2023,Post-IPO,China,12600
Tencent,Shenzen,Consumer,300,NULL,2/17/2023,Post-IPO,China,12600
"The Iconic",Sydney,Retail,69,0.06,2/23/2023,Unknown,Australia,NULL
"The Iconic",Sydney,Retail,69,0.06,2/23/2023,Unknown,Australia,NULL
"The RealReal","SF Bay Area",Retail,230,0.07,2/16/2023,Post-IPO,"United States",356
"The RealReal","SF Bay Area",Retail,230,0.07,2/16/2023,Post-IPO,"United States",356
TheSkimm,"New York City",Media,17,0.1,2/1/2023,"Series C","United States",28
TheSkimm,"New York City",Media,17,0.1,2/1/2023,"Series C","United States",28
Thinkific,Vancouver,Education,76,0.19,1/10/2023,Post-IPO,Canada,22
Thinkific,Vancouver,Education,76,0.19,1/10/2023,Post-IPO,Canada,22
Thoughtworks,Chicago,Other,500,0.04,3/1/2023,Post-IPO,"United States",748
Thoughtworks,Chicago,Other,500,0.04,3/1/2023,Post-IPO,"United States",748
Thumbtack,"SF Bay Area",Consumer,160,0.14,12/13/2022,"Series I","United States",698
Thumbtack,"SF Bay Area",Consumer,160,0.14,12/13/2022,"Series I","United States",698
"Tier Mobility",Berlin,Transportation,80,0.07,1/25/2023,"Series D",Germany,646
"Tier Mobility",Berlin,Transportation,80,0.07,1/25/2023,"Series D",Germany,646
"TikTok India",Mumbai,Consumer,40,NULL,2/10/2023,Acquired,India,9400
"TikTok India",Mumbai,Consumer,40,NULL,2/10/2023,Acquired,India,9400
"Till Payments",Sydney,Finance,120,NULL,1/10/2023,"Series C",Australia,95
"Till Payments",Sydney,Finance,120,NULL,1/10/2023,"Series C",Australia,95
"Tilting Point","New York City",Consumer,60,0.14,1/31/2023,Unknown,"United States",235
"Tilting Point","New York City",Consumer,60,0.14,1/31/2023,Unknown,"United States",235
Tipalti,"SF Bay Area",Finance,123,0.11,1/11/2023,"Series F","United States",565
Tipalti,"SF Bay Area",Finance,123,0.11,1/11/2023,"Series F","United States",565
Tomorrow,Hamburg,Finance,30,0.25,12/16/2022,Unknown,Germany,29
Tomorrow,Hamburg,Finance,30,0.25,12/16/2022,Unknown,Germany,29
TripleLift,"New York City",Marketing,100,0.2,2/10/2023,Acquired,"United States",16
TripleLift,"New York City",Marketing,100,0.2,2/10/2023,Acquired,"United States",16
Tul,Bogota,Construction,100,NULL,1/17/2023,"Series B",Colombia,218
Tul,Bogota,Construction,100,NULL,1/17/2023,"Series B",Colombia,218
TuSimple,"San Diego",Transportation,350,0.25,12/21/2022,Post-IPO,"United States",648
TuSimple,"San Diego",Transportation,350,0.25,12/21/2022,Post-IPO,"United States",648
Twilio,"SF Bay Area",Other,1500,0.17,2/13/2023,Post-IPO,"United States.",614
Twilio,"SF Bay Area",Other,1500,0.17,2/13/2023,Post-IPO,"United States.",614
"Twine Solutions ","Tel Aviv",Hardware,30,0.33,1/5/2023,Unknown,Israel,50
"Twine Solutions ","Tel Aviv",Hardware,30,0.33,1/5/2023,Unknown,Israel,50
Twitter,"SF Bay Area",Consumer,40,NULL,1/5/2023,Post-IPO,"United States",12900
Twitter,"SF Bay Area",Consumer,40,NULL,1/5/2023,Post-IPO,"United States",12900
Twitter,"SF Bay Area",Consumer,200,0.1,2/25/2023,Post-IPO,"United States",12900
Twitter,"SF Bay Area",Consumer,200,0.1,2/25/2023,Post-IPO,"United States",12900
"Uber Freight","SF Bay Area",Logistics,150,0.03,1/23/2023,Subsidiary,"United States",2700
"Uber Freight","SF Bay Area",Logistics,150,0.03,1/23/2023,Subsidiary,"United States",2700
Udemy,"SF Bay Area",Education,NULL,0.1,2/14/2023,Post-IPO,"United States",311
Udemy,"SF Bay Area",Education,NULL,0.1,2/14/2023,Post-IPO,"United States",311
Unico,"Sao Paulo",Other,110,0.1,1/17/2023,"Series D",Brazil,336
Unico,"Sao Paulo",Other,110,0.1,1/17/2023,"Series D",Brazil,336
Uniphore,"SF Bay Area",Support,76,0.1,1/3/2023,"Series E","United States",620
Uniphore,"SF Bay Area",Support,76,0.1,1/3/2023,"Series E","United States",620
Unity,"SF Bay Area",Other,284,0.03,1/17/2023,Post-IPO,"United States",1300
Unity,"SF Bay Area",Other,284,0.03,1/17/2023,Post-IPO,"United States",1300
UpGrad,Mumbai,Education,120,NULL,3/6/2023,Unknown,India,631
UpGrad,Mumbai,Education,120,NULL,3/6/2023,Unknown,India,631
UpScalio,Gurugram,Retail,25,0.15,1/5/2023,"Series B",India,62
UpScalio,Gurugram,Retail,25,0.15,1/5/2023,"Series B",India,62
Upstart,"SF Bay Area",Finance,365,0.2,1/31/2023,Post-IPO,"United States",144
Upstart,"SF Bay Area",Finance,365,0.2,1/31/2023,Post-IPO,"United States",144
UserTesting,"SF Bay Area",Marketing,63,NULL,3/3/2023,Acquired,"United States",152
UserTesting,"SF Bay Area",Marketing,63,NULL,3/3/2023,Acquired,"United States",152
Vacasa,Portland,Travel,1300,0.17,1/24/2023,Post-IPO,"United States",834
Vacasa,Portland,Travel,1300,0.17,1/24/2023,Post-IPO,"United States",834
Vanta,"SF Bay Area",Security,NULL,0.14,12/8/2022,"Series B","United States",203
Vanta,"SF Bay Area",Security,NULL,0.14,12/8/2022,"Series B","United States",203
Vedantu,Bengaluru,Education,385,NULL,12/7/2022,"Series E",India,292
Vedantu,Bengaluru,Education,385,NULL,12/7/2022,"Series E",India,292
"Velodyne Lidar","SF Bay Area",Transportation,220,NULL,2/24/2023,Acquired,"United States",575
"Velodyne Lidar","SF Bay Area",Transportation,220,NULL,2/24/2023,Acquired,"United States",575
Venngage,Toronto,Marketing,11,0.2,1/24/2023,Unknown,Canada,NULL
Venngage,Toronto,Marketing,11,0.2,1/24/2023,Unknown,Canada,NULL
Veriff,Tallinn,Security,66,0.12,2/9/2023,"Series C",Estonia,192
Veriff,Tallinn,Security,66,0.12,2/9/2023,"Series C",Estonia,192
Verily,"SF Bay Area",Healthcare,250,0.15,1/11/2023,NULL,"United States",3500
Verily,"SF Bay Area",Healthcare,250,0.15,1/11/2023,NULL,"United States",3500
VerticalScope,Toronto,Media,60,0.22,2/1/2023,Post-IPO,Canada,NULL
VerticalScope,Toronto,Media,60,0.22,2/1/2023,Post-IPO,Canada,NULL
Vial,"SF Bay Area",Healthcare,40,NULL,1/13/2023,"Series B","United States",101
Vial,"SF Bay Area",Healthcare,40,NULL,1/13/2023,"Series B","United States",101
Viant,"Los Angeles",Marketing,46,0.13,12/13/2022,Post-IPO,"United States",NULL
Viant,"Los Angeles",Marketing,46,0.13,12/13/2022,Post-IPO,"United States",NULL
"Vibrent Health","Washington D.C.",Healthcare,NULL,0.13,2/23/2023,Unknown,"United States",NULL
"Vibrent Health","Washington D.C.",Healthcare,NULL,0.13,2/23/2023,Unknown,"United States",NULL
"Vicarious Surgical",Boston,Healthcare,NULL,0.14,2/15/2023,Post-IPO,"United States",185
"Vicarious Surgical",Boston,Healthcare,NULL,0.14,2/15/2023,Post-IPO,"United States",185
Vimeo,"New York City",Consumer,NULL,0.11,1/4/2023,Post-IPO,"United States",450
Vimeo,"New York City",Consumer,NULL,0.11,1/4/2023,Post-IPO,"United States",450
"VinFast US","Los Angeles",Transportation,80,NULL,2/6/2023,Subsidiary,"United States",NULL
"VinFast US","Los Angeles",Transportation,80,NULL,2/6/2023,Subsidiary,"United States",NULL
Voi,Stockholm,Transportation,130,0.13,12/7/2022,"Series D","United States",515
Voi,Stockholm,Transportation,130,0.13,12/7/2022,"Series D","United States",515
"Vox Media","Washington D.C.",Media,130,0.07,1/20/2023,"Series F","United States",307
"Vox Media","Washington D.C.",Media,130,0.07,1/20/2023,"Series F","United States",307
Vroom,"New York City",Transportation,275,0.2,1/18/2023,Post-IPO,"United States",1300
Vroom,"New York City",Transportation,275,0.2,1/18/2023,Post-IPO,"United States",1300
WalkMe,"SF Bay Area",Other,43,0.03,1/8/2023,Post-IPO,"United States",307
WalkMe,"SF Bay Area",Other,43,0.03,1/8/2023,Post-IPO,"United States",307
Wallbox,Barcelona,Energy,NULL,0.15,1/19/2023,Post-IPO,Spain,167
Wallbox,Barcelona,Energy,NULL,0.15,1/19/2023,Post-IPO,Spain,167
Wayfair,Boston,Retail,1750,0.1,1/20/2023,Post-IPO,"United States",1700
Wayfair,Boston,Retail,1750,0.1,1/20/2023,Post-IPO,"United States",1700
Waymo,"SF Bay Area",Transportation,209,0.08,3/1/2023,Subsidiary,"United States",5500
Waymo,"SF Bay Area",Transportation,209,0.08,3/1/2023,Subsidiary,"United States",5500
Weedmaps,"Los Angeles",Other,175,0.25,12/6/2022,Acquired,"United States",NULL
Weedmaps,"Los Angeles",Other,175,0.25,12/6/2022,Acquired,"United States",NULL
Wefox,Berlin,Finance,100,NULL,1/31/2023,"Series D",Germany,1300
Wefox,Berlin,Finance,100,NULL,1/31/2023,"Series D",Germany,1300
WeTrade,Bengaluru,Crypto,NULL,1,2/9/2023,Unknown,India,NULL
WeTrade,Bengaluru,Crypto,NULL,1,2/9/2023,Unknown,India,NULL
"WeWork ","New York City","Real Estate",300,NULL,1/19/2023,Post-IPO,"United States",22200
"WeWork ","New York City","Real Estate",300,NULL,1/19/2023,Post-IPO,"United States",22200
Wheel,Austin,Healthcare,56,0.28,2/1/2023,"Series C","United States",215
Wheel,Austin,Healthcare,56,0.28,2/1/2023,"Series C","United States",215
WHOOP,Boston,Fitness,NULL,0.04,1/10/2023,"Series F","United States",404
WHOOP,Boston,Fitness,NULL,0.04,1/10/2023,"Series F","United States",404
Willow,Sydney,"Real Estate",99,0.22,12/23/2022,Unknown,Australia,NULL
Willow,Sydney,"Real Estate",99,0.22,12/23/2022,Unknown,Australia,NULL
Wish,"SF Bay Area",Retail,150,0.17,1/31/2023,Post-IPO,"United States",1600
Wish,"SF Bay Area",Retail,150,0.17,1/31/2023,Post-IPO,"United States",1600
Wix,"Tel Aviv",Marketing,370,0.06,2/15/2023,Post-IPO,Israel,58
Wix,"Tel Aviv",Marketing,370,0.06,2/15/2023,Post-IPO,Israel,58
Workato,"SF Bay Area",Other,90,0.1,2/1/2023,"Series E","United States",415
Workato,"SF Bay Area",Other,90,0.1,2/1/2023,"Series E","United States",415
Workday,"SF Bay Area",HR,525,0.03,1/31/2023,Post-IPO,"United States",230
Workday,"SF Bay Area",HR,525,0.03,1/31/2023,Post-IPO,"United States",230
Workmotion,Berlin,HR,60,0.2,12/15/2022,"Series B","United States",76
Workmotion,Berlin,HR,60,0.2,12/15/2022,"Series B","United States",76
Wyre,"SF Bay Area",Crypto,NULL,1,1/4/2023,Unknown,"United States",29
Wyre,"SF Bay Area",Crypto,NULL,1,1/4/2023,Unknown,"United States",29
Xentral,Munich,Product,20,0.1,12/10/2022,"Series B",Germany,94
Xentral,Munich,Product,20,0.1,12/10/2022,"Series B",Germany,94
Yahoo,"SF Bay Area",Consumer,1600,0.2,2/9/2023,Acquired,"United States",6
Yahoo,"SF Bay Area",Consumer,1600,0.2,2/9/2023,Acquired,"United States",6
Yellow.ai,"SF Bay Area",Support,200,NULL,3/1/2023,"Series C","United States",102
Yellow.ai,"SF Bay Area",Support,200,NULL,3/1/2023,"Series C","United States",102
Yext,"New York City",Marketing,NULL,0.08,1/23/2023,Post-IPO,"United States",117
Yext,"New York City",Marketing,NULL,0.08,1/23/2023,Post-IPO,"United States",117
YourGrocer,Melbourne,Food,NULL,1,12/19/2022,Unknown,Australia,2
YourGrocer,Melbourne,Food,NULL,1,12/19/2022,Unknown,Australia,2
ZenLedger,Seattle,Crypto,NULL,0.1,12/9/2022,"Series B","United States",25
ZenLedger,Seattle,Crypto,NULL,0.1,12/9/2022,"Series B","United States",25
Zhihu,Beijing,Consumer,NULL,0.1,12/20/2022,"Series F",China,892
Zhihu,Beijing,Consumer,NULL,0.1,12/20/2022,"Series F",China,892
Zoom,"SF Bay Area",Other,1300,0.15,2/7/2023,Post-IPO,"United States",276
Zoom,"SF Bay Area",Other,1300,0.15,2/7/2023,Post-IPO,"United States",276
Zoopla,London,"Real Estate",50,NULL,12/23/2022,"Series C","United Kingdom",25
Zoopla,London,"Real Estate",50,NULL,12/23/2022,"Series C","United Kingdom",25
Zscaler,"SF Bay Area",Security,177,0.03,3/2/2023,Post-IPO,"United States",148
Zscaler,"SF Bay Area",Security,177,0.03,3/2/2023,Post-IPO,"United States",148
